IDENT,LAT,LONG,COMMENT,ALTITUDE,N£mero de Individuos,Presen‡a do Lixo,Numero de Barracas,,,,,
1,-25.95750178,32.56438969,01-FEB-15 4:30:57AM,50.00,0,LA,Restaurante,,,,,
2,-25.95739600,32.56351386,01-FEB-15 4:31:50AM,53.00,0,LA,ausente,,,,,
3,-25.95800285,32.56180387,01-FEB-15 4:32:24AM,56.00,0,LA,ausente,,,,,
4,-25.95931646,32.55944629,01-FEB-15 4:33:23AM,47.00,0,LA,ausente,,,,,
5,-25.95967177,32.55968442,01-FEB-15 4:33:35AM,46.00,0,LA,ausente,,,,,
6,-25.96120675,32.56113307,01-FEB-15 4:34:12AM,42.00,0,LA,ausente,,,,,
7,-25.95994796,32.56394335,01-FEB-15 4:35:55AM,51.00,0,LA,Restaurante,,,,,
8,-25.96032548,32.56393304,01-FEB-15 4:36:10AM,51.00,0,LA,ausente,,,,,
9,-25.96061658,32.56351696,01-FEB-15 4:36:21AM,49.00,0,LA,Barracas,,,,,
10,-25.96188124,32.56280618,01-FEB-15 4:36:45AM,41.00,0,LA,ausente,,,,,
11,-25.96387764,32.56476494,01-FEB-15 4:37:51AM,30.00,0,LA,ausente,,,,,
12,-25.96349015,32.56666244,01-FEB-15 4:38:47AM,34.00,0,Ausente,Barracas,,,,,
13,-25.96402584,32.56763583,01-FEB-15 4:39:10AM,30.00,8,Ausente,ausente,,,,,
14,-25.96428500,32.56809994,01-FEB-15 4:39:30AM,28.00,0,Ausente,Mercado,,,,,
15,-25.96505078,32.56935831,01-FEB-15 4:39:59AM,28.00,0,Ausente,ausente,,,,,
16,-25.96496327,32.56991319,01-FEB-15 4:40:17AM,29.00,0,LA,ausente,,,,,
17,-25.96400304,32.57049959,01-FEB-15 4:41:07AM,34.00,0,LA,ausente,,,,,
18,-25.96376407,32.57012861,01-FEB-15 4:41:18AM,35.00,0,LA,Barraca,,,,,
19,-25.96315563,32.56898934,01-FEB-15 4:41:44AM,35.00,0,LA,ausente,,,,,
20,-25.96291465,32.56860830,01-FEB-15 4:41:53AM,37.00,0,Ausente,Restaurantes,,,,,
21,-25.96256487,32.56805291,01-FEB-15 4:42:03AM,40.00,0,LA,ausente,,,,,
22,-25.96106744,32.56555888,01-FEB-15 4:42:43AM,48.00,0,LA,ausente,,,,,
23,-25.95927246,32.56433596,01-FEB-15 4:43:50AM,50.00,0,LA,Barracas,,,,,
24,-25.95966985,32.56528161,01-FEB-15 4:44:10AM,50.00,0,LA,Barracas,,,,,
25,-25.96032472,32.56645608,01-FEB-15 4:44:35AM,48.00,0,Ausente,Barracas,,,,,
26,-25.96066461,32.56706804,01-FEB-15 4:44:54AM,48.00,0,LA,ausente,,,,,
27,-25.96123416,32.56807496,01-FEB-15 4:45:16AM,45.00,0,LA,Barracas e Restaurante,,,,,
28,-25.96136651,32.56833002,01-FEB-15 4:45:25AM,43.00,0,Ausente,ausente,,,,,
29,-25.96171075,32.56894743,01-FEB-15 4:45:38AM,42.00,0,LA,ausente,,,,,
30,-25.96199188,32.56935236,01-FEB-15 4:45:47AM,41.00,0,Ausente,Barraca,,,,,
31,-25.96111597,32.57015434,01-FEB-15 4:46:17AM,45.00,4,Ausente,ausente,,,,,
32,-25.96089235,32.57059087,01-FEB-15 4:46:41AM,45.00,0,LA,ausente,,,,,
33,-25.96171956,32.57199593,01-FEB-15 4:47:12AM,46.00,0,Ausente,Restaurante,,,,,
34,-25.96032464,32.57281375,01-FEB-15 4:47:58AM,47.00,0,Ausente,Barracas,,,,,
35,-25.95998961,32.57218863,01-FEB-15 4:48:11AM,47.00,0,Ausente,Barracas,,,,,
36,-25.95968770,32.57165127,01-FEB-15 4:48:23AM,47.00,0,LA,ausente,,,,,
37,-25.95876619,32.57003456,01-FEB-15 4:49:02AM,47.00,0,LA,ausente,,,,,
38,-25.95827904,32.56914843,01-FEB-15 4:49:21AM,48.00,0,Ausente,Barracas,,,,,
39,-25.95782247,32.56834913,01-FEB-15 4:49:37AM,49.00,0,Ausente,Barracas,,,,,
40,-25.95740078,32.56758680,01-FEB-15 4:49:51AM,50.00,0,LA,ausente,,,,,
41,-25.95666351,32.56617252,01-FEB-15 4:50:27AM,50.00,0,Ausente,ausente,,,,,
42,-25.95732719,32.56551965,01-FEB-15 4:50:46AM,48.00,0,LA,Barracas,,,,,
43,-25.95706131,32.56451206,01-FEB-15 4:51:29AM,47.00,0,Ausente,Restaurante,,,,,
44,-25.95606018,32.56641828,01-FEB-15 4:52:02AM,48.00,0,LA,Barraca,,,,,
45,-25.95648665,32.56667376,01-FEB-15 4:52:13AM,49.00,0,Ausente,Barraca,,,,,
46,-25.95646502,32.56719117,01-FEB-15 4:52:24AM,49.00,0,LT,Barraca,,,,,
47,-25.95632496,32.56827101,01-FEB-15 4:52:40AM,47.00,0,Ausente,Barraca,,,,,
48,-25.95629219,32.56888499,01-FEB-15 4:52:48AM,46.00,0,Ausente,Barraca,,,,,
49,-25.95623134,32.56938647,01-FEB-15 4:52:54AM,46.00,0,Ausente,Barraca,,,,,
50,-25.95619563,32.57000313,01-FEB-15 4:53:03AM,44.00,0,LA,ausente,,,,,
51,-25.95618683,32.57103117,01-FEB-15 4:53:18AM,40.00,0,Ausente,Barraca,,,,,
52,-25.95622539,32.57193591,01-FEB-15 4:53:31AM,39.00,0,Ausente,Barraca,,,,,
53,-25.95640250,32.57319664,01-FEB-15 4:53:49AM,35.00,0,Ausente,Barraca,,,,,
54,-25.95745635,32.57277134,01-FEB-15 4:54:14AM,38.00,0,LA,ausente,,,,,
55,-25.95842890,32.57197749,01-FEB-15 4:54:38AM,41.00,0,Ausente,ausente,,,,,
56,-25.95824090,32.57165328,01-FEB-15 4:54:47AM,42.00,0,Ausente,Mercado,,,,,
57,-25.95778693,32.57083478,01-FEB-15 4:55:05AM,42.00,0,LA,ausente,,,,,
58,-25.95755870,32.57042985,01-FEB-15 4:55:17AM,44.00,0,LA,Barraca,,,,,
59,-25.95825590,32.56866387,01-FEB-15 4:56:07AM,48.00,0,Ausente,ausente,,,,,
60,-25.95918411,32.56801989,01-FEB-15 4:56:23AM,49.00,0,Ausente,Barraca,,,,,
61,-25.96046822,32.56976324,01-FEB-15 4:57:09AM,43.00,0,LA,ausente,,,,,
62,-25.95765232,32.57305046,01-FEB-15 4:58:35AM,38.00,0,Ausente,Barraca,,,,,
63,-25.95749449,32.57361313,01-FEB-15 4:58:50AM,36.00,0,Ausente,ausente,,,,,
64,-25.95953188,32.57387431,01-FEB-15 5:00:53AM,41.00,0,Ausente,Barraca,,,,,
65,-25.96029614,32.57333787,01-FEB-15 5:01:04AM,45.00,0,Ausente,Barraca,,,,,
66,-25.96556232,32.56711288,01-FEB-15 5:05:09AM,18.00,0,Ausente,Barraca,,,,,
67,-25.96633581,32.56488254,01-FEB-15 5:06:49AM,10.00,0,Ausente,Barraca,,,,,
68,-25.96692581,32.56590455,01-FEB-15 5:07:05AM,9.00,0,LA,Restaurante,,,,,
69,-25.96749200,32.56689236,01-FEB-15 5:07:28AM,10.00,0,LA,Barraca,,,,,
70,-25.96831368,32.56772401,01-FEB-15 5:07:52AM,9.00,0,LA,Barraca,,,,,
71,-25.96869992,32.56744212,01-FEB-15 5:07:59AM,9.00,0,Ausente,Barraca,,,,,
72,-25.96894467,32.56685648,01-FEB-15 5:08:17AM,8.00,0,Ausente,ausente,,,,,
73,-25.96735546,32.56177269,01-FEB-15 5:10:26AM,8.00,0,LA,ausente,,,,,
74,-25.96819206,32.56323382,01-FEB-15 5:10:45AM,9.00,0,LA,ausente,,,,,
75,-25.96978135,32.56594453,01-FEB-15 5:11:23AM,8.00,0,Ausente,ausente,,,,,
76,-25.97006701,32.56634695,01-FEB-15 5:11:35AM,7.00,0,LA,Barraca,,,,,
77,-25.97082825,32.56595635,01-FEB-15 5:11:56AM,9.00,0,Ausente,Barraca,,,,,
78,-25.97218864,32.56540205,01-FEB-15 5:12:20AM,9.00,0,Ausente,Barraca,,,,,
79,-25.97252492,32.56579089,01-FEB-15 5:12:30AM,8.00,0,LA,ausente,,,,,
80,-25.97312825,32.56688548,01-FEB-15 5:12:45AM,9.00,0,LA,ausente,,,,,
81,-25.97427506,32.56866571,01-FEB-15 5:13:12AM,9.00,0,LA,ausente,,,,,
82,-25.97533747,32.57059003,01-FEB-15 5:14:37AM,8.00,0,LA,Barraca,,,,,
83,-25.97776327,32.57491987,01-FEB-15 5:15:47AM,9.00,0,Ausente,ausente,,,,,
84,-25.97874379,32.57526102,01-FEB-15 5:16:16AM,8.00,0,LA,ausente,,,,,
85,-25.97895686,32.57587147,01-FEB-15 5:16:24AM,9.00,0,Ausente,ausente,,,,,
86,-25.97927948,32.57676490,01-FEB-15 5:16:36AM,9.00,0,LA,ausente,,,,,
87,-25.98000099,32.57876088,01-FEB-15 5:17:05AM,9.00,0,Ausente,ausente,,,,,
88,-25.98018145,32.57923773,01-FEB-15 5:17:11AM,8.00,0,LA,ausente,,,,,
89,-25.98076408,32.58084496,01-FEB-15 5:17:39AM,8.00,0,LA,ausente,,,,,
90,-25.98126356,32.58224213,01-FEB-15 5:18:08AM,7.00,0,LA,ausente,,,,,
91,-25.98158358,32.58311209,01-FEB-15 5:18:27AM,8.00,0,LA,ausente,,,,,
92,-25.97952238,32.58244741,01-FEB-15 5:19:33AM,8.00,0,Ausente,ausente,,,,,
93,-25.97916087,32.58178884,01-FEB-15 5:19:51AM,8.00,0,Ausente,2 Restaurantes,,,,,
94,-25.97892433,32.58135349,01-FEB-15 5:20:03AM,8.00,0,LA,ausente,,,,,
95,-25.97797735,32.57977710,01-FEB-15 5:20:42AM,8.00,0,Ausente,ausente,,,,,
96,-25.97640398,32.57703463,01-FEB-15 5:21:29AM,8.00,0,Ausente,Barraca,,,,,
97,-25.97609494,32.57650288,01-FEB-15 5:21:48AM,7.00,0,Ausente,Restaurante,,,,,
98,-25.97570677,32.57586292,01-FEB-15 5:22:05AM,7.00,0,Ausente,Restaurante,,,,,
99,-25.97533914,32.57526211,01-FEB-15 5:22:17AM,8.00,0,LA,ausente,,,,,
100,-25.97448167,32.57387314,01-FEB-15 5:22:43AM,8.00,0,Ausente,ausente,,,,,
101,-25.97380693,32.57267218,01-FEB-15 5:23:22AM,7.00,0,Ausente,ausente,,,,,
102,-25.97306195,32.57138061,01-FEB-15 5:23:40AM,6.00,0,Ausente,Restaurante,,,,,
103,-25.97258158,32.57059464,01-FEB-15 5:24:13AM,6.00,0,Ausente,ausente,,,,,
104,-25.97177809,32.56930157,01-FEB-15 5:25:12AM,5.00,0,Ausente,Restaurante,,,,,
105,-25.97106823,32.56798988,01-FEB-15 5:25:35AM,6.00,0,Ausente,ausente,,,,,
106,-25.97143644,32.56635021,01-FEB-15 5:26:43AM,6.00,0,Ausente,ausente,,,,,
107,-25.97248158,32.56834175,01-FEB-15 5:27:27AM,6.00,0,Ausente,ausente,,,,,
108,-25.97061485,32.56982200,01-FEB-15 5:28:23AM,7.00,0,Ausente,Barraca,,,,,
109,-25.97019743,32.56907458,01-FEB-15 5:28:36AM,7.00,0,LA,ausente,,,,,
110,-25.96974380,32.57082867,01-FEB-15 5:31:04AM,7.00,0,LA,ausente,,,,,
111,-25.97014622,32.57250991,01-FEB-15 5:31:45AM,13.00,0,LA,ausente,,,,,
112,-25.96916646,32.57271887,01-FEB-15 5:32:06AM,17.00,1,Ausente,ausente,,,,,
113,-25.96829767,32.57165219,01-FEB-15 5:32:36AM,16.00,0,Ausente,ausente,,,,,
114,-25.96728455,32.57013833,01-FEB-15 5:33:03AM,14.00,0,LA,ausente,,,,,
115,-25.96711230,32.57292171,01-FEB-15 5:34:07AM,28.00,0,LA,Mercado,,,,,
116,-25.96928556,32.57273613,01-FEB-15 5:35:36AM,18.00,2,LA,ausente,,,,,
117,-25.96957533,32.57375588,01-FEB-15 5:36:23AM,21.00,2,Ausente,ausente,,,,,
118,-25.97118172,32.57567357,01-FEB-15 5:38:15AM,27.00,0,LA,ausente,,,,,
119,-25.97234077,32.57479138,01-FEB-15 5:38:39AM,15.00,0,LA,ausente,,,,,
120,-25.97315239,32.57410171,01-FEB-15 5:39:00AM,7.00,0,Ausente,Barraca,,,,,
121,-25.97346470,32.57069900,01-FEB-15 5:40:25AM,6.00,0,LA,ausente,,,,,
122,-25.97122665,32.57093193,01-FEB-15 5:42:32AM,6.00,0,LA,ausente,,,,,
123,-25.97028368,32.57046338,01-FEB-15 5:43:02AM,7.00,0,LA,ausente,,,,, 
124,-25.96975135,32.57088734,01-FEB-15 5:43:13AM,8.00,1,LA,ausente,,,,,
125,-25.96647084,32.57495658,01-FEB-15 5:45:55AM,38.00,0,LA,ausente,,,,,
126,-25.96729537,32.57633356,01-FEB-15 5:46:54AM,43.00,0,LA,ausente,,,,,
127,-25.96762243,32.57689356,01-FEB-15 5:47:04AM,44.00,0,Ausente,Restaurante,,,,,
128,-25.96802250,32.57765422,01-FEB-15 5:47:17AM,46.00,0,Ausente,Restaurante,,,,,
129,-25.96858375,32.57853339,01-FEB-15 5:47:34AM,49.00,0,LA,ausente,,,,,
130,-25.96982528,32.58062652,01-FEB-15 5:48:12AM,56.00,1,Ausente,ausente,,,,,
131,-25.96726838,32.57892609,01-FEB-15 5:49:53AM,55.00,0,LA,Barraca,,,,,
132,-25.96669329,32.57787424,01-FEB-15 5:50:12AM,53.00,0,LA,ausente,,,,,
133,-25.96572854,32.57636424,01-FEB-15 5:50:43AM,47.00,0,Ausente,Barraca,,,,,
134,-25.96430847,32.57640950,01-FEB-15 5:51:22AM,53.00,0,LA,ausente,,,,,
135,-25.96289227,32.57381262,01-FEB-15 5:51:52AM,48.00,0,LA,ausente,,,,,
136,-25.96120088,32.57431042,01-FEB-15 5:53:01AM,46.00,0,Ausente,Barraca,,,,,
137,-25.96159902,32.57504342,01-FEB-15 5:53:16AM,47.00,0,LA,ausente,,,,,
138,-25.96316879,32.57786226,01-FEB-15 5:54:06AM,53.00,0,Ausente,Barraca,,,,,
139,-25.96368503,32.57878326,01-FEB-15 5:54:25AM,55.00,0,Ausente,Barraca,,,,,
140,-25.96425014,32.57982169,01-FEB-15 5:54:41AM,59.00,0,LA,Barraca,,,,,
